,Age,Gender,Average GPA,Attendance (%),Internship Done,Placement Status,In_Robotics,In_Coding Club,Knows_Machine Learning,Knows_Java,Knows_C++,Knows_SQL,Knows_Data Science,Knows_Python,Knows_Web Development,Extracirricular Activities,Domain_Consulting,Domain_Core Engineering,Domain_Hardware,Domain_Higher Studies,Domain_None,Domain_Research,Domain_Software,Backlogs_Binned
61,23,0,2.0681277817795625,96,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
62,23,0,2.048982334195127,79,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
63,19,0,2.018895041811802,97,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
64,20,0,2.0425181875752383,85,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
65,18,0,2.131796772013764,83,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1
66,22,0,2.020222182019865,86,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
67,22,0,2.1341664413690826,95,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
68,18,0,2.0769384114617173,85,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0
69,22,1,2.1587147225743437,64,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
70,18,1,2.1210632163706555,83,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
71,23,1,2.05668455455722,87,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
72,22,0,2.1552445050953364,78,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
73,23,0,2.0906287310704004,69,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1
74,22,0,2.0831845279586703,61,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1
75,18,1,2.0360119837525,97,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0
76,22,0,2.018895041811802,75,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
77,22,1,2.143589361503588,77,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,2
78,20,0,2.0980179272527715,79,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
79,21,0,2.0592388343623163,95,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1
80,20,1,2.167910189667444,86,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,2
81,21,0,2.1400661634962708,90,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2
82,23,1,2.0955609235597192,86,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0
83,21,0,2.1077860146889784,89,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
84,21,0,2.0438143640366846,84,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0
85,23,0,2.064327903869788,60,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
86,21,1,2.1294214739848565,84,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
87,18,1,2.081938421878423,67,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,2
88,22,1,2.0014800002101243,85,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1
89,20,0,2.0294631718735947,71,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0
90,18,0,2.012232791986386,90,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
91,19,1,2.1447610078004784,89,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
92,23,1,2.0719132752590443,92,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1
93,21,0,2.0294631718735947,73,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
94,22,0,2.1424163408412245,75,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1
95,20,0,2.1341664413690826,97,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
96,18,0,2.1174596088673567,70,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1
97,23,1,2.0412203288596382,94,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
98,21,0,2.075684492802124,75,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1
99,22,0,2.096790180014449,61,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
100,21,0,2.050270164379556,63,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
101,21,0,2.149433913499871,94,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1
102,18,0,2.0980179272527715,70,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
103,23,1,2.084429083190875,73,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
104,23,0,2.0706530356467567,83,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,2
105,20,0,2.066862759472976,81,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0
106,21,1,2.05668455455722,63,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
107,22,0,2.122261538862764,64,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1
108,19,0,2.1471001901536506,75,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
109,22,1,2.0918640616783932,66,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
110,19,1,2.0955609235597192,86,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1
111,19,0,2.0992441689760155,85,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1
112,21,0,2.046401687601636,71,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1
113,21,0,2.1400661634962708,90,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2
114,20,0,2.089391872533004,73,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
115,20,0,2.0693912058263346,80,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0
116,21,1,2.033397603178429,79,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
117,18,0,2.150598735996164,61,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0
118,23,0,2.084429083190875,98,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1
119,21,0,2.086913556518537,67,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,2
120,21,0,2.1529243184396396,86,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
121,18,1,2.046401687601636,75,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
122,20,0,2.0744289998562917,62,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
123,20,0,2.1400661634962708,60,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1
124,19,1,2.063058062429312,79,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
125,21,1,2.0412203288596382,90,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0
126,18,0,2.038619547159581,84,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0
127,22,0,2.102913897864978,73,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0
128,19,1,2.030776369698555,83,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1
129,18,1,2.0719132752590443,74,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
130,18,0,2.046401687601636,89,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0
131,23,1,2.0918640616783932,75,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,2
132,20,1,2.0744289998562917,95,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
133,18,0,2.064327903869788,89,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
134,22,1,2.1471001901536506,64,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0
135,19,1,2.1174596088673567,88,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
136,21,0,2.033397603178429,79,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
137,18,1,2.0831845279586703,81,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
138,21,0,2.033397603178429,79,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
139,19,0,2.167910189667444,82,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1
140,21,0,2.033397603178429,79,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
141,21,0,2.048982334195127,82,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
142,22,1,2.085672091430472,67,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1
143,22,1,2.0541237336955462,64,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
144,18,0,2.1258479144939915,61,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
145,23,1,2.085672091430472,78,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
146,19,0,2.1234584270966104,62,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
147,19,1,1.9530276168241771,68,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
148,22,1,1.9685099809725544,60,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
149,22,0,2.0360119837525,77,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1
150,18,1,2.0831845279586703,81,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
151,20,1,2.052840859882657,78,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
152,19,1,1.9823798288367047,79,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1
153,23,1,2.085672091430472,78,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
154,22,0,1.9643112344262046,62,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2
155,21,0,2.130609828254235,72,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
156,18,1,2.0215475632609334,79,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1
157,21,1,2.0992441689760155,89,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
158,23,1,2.122261538862764,86,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
159,18,0,2.093097868127322,96,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1
160,18,1,2.0554049638515943,78,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
161,20,1,2.050270164379556,93,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2
162,19,1,2.030776369698555,85,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
163,23,0,2.064327903869788,80,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1
164,20,0,2.0955609235597192,73,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
165,18,0,2.0215475632609334,82,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1
166,22,0,2.048982334195127,98,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1
167,18,1,2.1447610078004784,64,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
168,20,1,2.1186622548331173,97,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0
169,21,1,2.0399207835175526,61,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1
170,21,0,2.1114245875328868,65,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1
171,19,0,2.081938421878423,80,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1
172,19,0,2.0731719286662407,90,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1
173,21,1,1.9851308622085946,64,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1
174,19,0,2.0268315914075385,98,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0
175,22,0,2.1341664413690826,95,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
176,21,1,2.1529243184396396,86,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
177,20,1,2.080690761080268,65,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
178,20,1,2.0706530356467567,67,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1
179,22,0,2.122261538862764,64,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1
180,18,1,2.081938421878423,60,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1
181,23,1,2.05668455455722,99,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
182,19,0,2.064327903869788,69,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
183,19,0,2.081938421878423,80,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1
184,20,0,2.0980179272527715,78,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1
185,21,1,2.033397603178429,79,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
186,22,1,2.0451088625993306,95,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1
187,18,0,2.1174596088673567,90,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
188,23,1,2.048982334195127,79,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
189,21,1,2.1077860146889784,89,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
190,18,1,2.0719132752590443,79,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0
191,23,0,2.052840859882657,93,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1
192,18,0,2.1447610078004784,64,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
193,18,1,2.081938421878423,60,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1
194,19,0,2.1016921506146558,74,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1
195,23,0,2.084429083190875,73,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
196,18,0,2.1529243184396396,70,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0
197,20,0,2.030776369698555,63,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
198,18,1,2.102913897864978,93,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
199,21,1,2.096790180014449,67,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
200,20,1,2.089391872533004,73,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
201,23,0,2.05668455455722,81,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0
202,21,1,2.0980179272527715,68,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
203,22,1,2.096790180014449,61,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2
204,18,0,2.0719132752590443,78,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1
205,19,1,2.115049969147204,70,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1
206,21,1,2.081938421878423,81,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
207,19,1,2.080690761080268,94,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1
208,20,0,2.0992441689760155,77,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1
209,20,0,2.0149030205422647,74,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
210,21,0,2.0955609235597192,76,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
211,21,0,2.0515563381903004,68,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1
212,23,0,2.089391872533004,60,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
213,21,0,2.0906287310704004,62,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0
214,19,1,2.0399207835175526,96,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1
215,23,1,2.0541237336955462,93,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,2
216,23,0,2.0438143640366846,71,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
217,21,0,2.0438143640366846,89,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2
218,19,0,2.0320878452963655,99,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0
219,19,0,2.066862759472976,93,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1
220,18,1,2.0215475632609334,82,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1
221,23,0,2.1186622548331173,99,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1
222,22,1,2.128231705849268,69,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,2
223,23,1,2.0955609235597192,99,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1
224,23,1,2.038619547159581,69,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
225,21,1,2.080690761080268,63,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1
226,19,0,2.169053700369523,72,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
227,19,1,2.0541237336955462,93,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0
228,21,1,2.096790180014449,75,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
229,23,0,2.084429083190875,65,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0
230,22,0,2.0014800002101243,64,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1
231,18,1,2.018895041811802,71,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
232,19,1,2.0719132752590443,90,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,2
233,22,0,2.0918640616783932,73,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1
234,23,0,2.0541237336955462,93,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,2
235,21,0,2.1294214739848565,84,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
236,21,1,2.1447610078004784,74,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
237,23,0,2.1016921506146558,90,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0
238,20,1,2.028148247292285,95,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
239,23,1,2.089391872533004,71,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
